"CVM - LATAM - Mexico - Internal Servers - Patch Report","05/01/2017 at 06:32:56 (GMT)"
"Zurich Financial Services","4750 Wilshire Blvd.","Annex 2","Los Angeles","California","United States of America","90010"
"10.110.8.93",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","27","Global Default Network"
"10.110.8.92",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","27","Global Default Network"
"10.110.8.150",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","27","Global Default Network"
"10.110.8.57","mxzvladiawu101.zurich.mx",,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","27","Global Default Network"
"10.110.6.73",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","26","Global Default Network"
"10.110.8.178",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.72",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.8.177","arrsiuat.zurich.mx",,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.46",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.6.44",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","26","Global Default Network"
"10.110.6.166",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.8.198","brrsiuat.zurich.mx",,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.8.188",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.6.180",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.7.46",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.7.166",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.7.188",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.6.201",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.199",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.178","mxzm0107-b10.zurich.mx",,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.8.46",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.6.198","brrsidev.zurich.mx",,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.177","arrsidev.zurich.mx",,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.8.201",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.7.125",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.184",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.64",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","26","Global Default Network"
"10.110.7.114",,,"Red Hat Enterprise Linux Server 6.7","cpe:/o:redhat:enterprise_linux:6.7::server:","26","Global Default Network"
"10.110.8.114",,,"Red Hat Enterprise Linux Server 6.7","cpe:/o:redhat:enterprise_linux:6.7::server:","26","Global Default Network"
"10.110.6.185",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.7.185",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.6.164",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.7.184",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.7.164",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","26","Global Default Network"
"10.110.9.4",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","24","Global Default Network"
"10.241.18.22","mxzf0212.zurich.mx","MXZF0212","Windows Server 2008 Standard 64 bit Edition Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard_x64:","24","Global Default Network"
"10.110.8.14","mxzvlunlt5u101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","24","Global Default Network"
"10.110.10.219","mxzcwldsmsp101.zurich.mx","MXZCWLDSMSP101","Windows Server 2008 R2 Enterprise 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:enterprise_x64:","24","Global Default Network"
"10.110.6.16","mxzvlunlt5d101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","24","Global Default Network"
"10.110.7.1","mxzvlunlt5s101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","23","Global Default Network"
"10.110.8.152",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","23","Global Default Network"
"10.110.4.92","mxzvideowall.zurich.mx","MXZVIDEOWALL","Windows 7 Professional 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_7::sp1:x64:","23","Global Default Network"
"10.110.4.113",,"TEST",,"cpe:/o:microsoft:windows_7::sp1:x64:","22","Global Default Network"
"10.110.10.69","mxzcwldaasp101.zurich.mx","MXZCWLDAASP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","22","Global Default Network"
"10.110.10.77","mxzfwsioaip101.zurich.mx","MXZFWSIOAIP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","21","Global Default Network"
"10.110.10.35","mxzdwcgmajp101.zurich.mx","MXZDWCGMAJP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","21","Global Default Network"
"10.110.10.72","mxzdwcifasp101.zurich.mx","MXZDWCIFASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","20","Global Default Network"
"10.241.16.32","mxzdb0108.zurich.mx","MXZDB0108","Windows Server 2008 Standard 64 bit Edition Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard_x64:","20","Global Default Network"
"10.110.10.18","mxzcwfacasp101.zurich.mx","MXZCWFACASP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","19","Global Default Network"
"10.110.10.70","mxzdwcgmasp101.zurich.mx","MXZDWCGMASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","19","Global Default Network"
"10.110.10.183","mxzdwsoidbp102.zurich.mx","MXZDWSOIDBP102","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","19","Global Default Network"
"10.110.9.191",,,"Red Hat Enterprise Linux Server 5.11","cpe:/o:redhat:enterprise_linux:5.11::server:","19","Global Default Network"
"10.110.10.74","mxzfwsiorpp101.zurich.mx","MXZFWSIORPP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","18","Global Default Network"
"10.110.4.172","mxzcwmqmasp101.zurich.mx","MXZCWMQMASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","18","Global Default Network"
"10.110.10.87","mxzcwesbmqp101.zurich.mx","MXZCWESBMQP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","18","Global Default Network"
"10.110.10.148","mxzdwwebajp101.zurich.mx","MXZDWWEBAJP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","17","Global Default Network"
"10.110.6.191",,,"Red Hat Enterprise Linux Server 5.11","cpe:/o:redhat:enterprise_linux:5.11::server:","17","Global Default Network"
"10.110.4.214","mxzcwsymmsp101.zurich.mx","MXZCWSYMMSP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","17","Global Default Network"
"10.110.10.54","mxzdwppp101.zurich.mx","MXZDWPPP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","17","Global Default Network"
"10.110.8.191",,,"Red Hat Enterprise Linux Server 5.11","cpe:/o:redhat:enterprise_linux:5.11::server:","17","Global Default Network"
"10.110.5.99","mxzcwsymmsp001.zurich.mx","MXZCWSYMMSP001","Windows Server 2012 R2 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:r2::x64:","17","Global Default Network"
"10.110.4.200","mxzcwnpmasp101.zurich.mx","MXZCWNPMASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","16","Global Default Network"
"10.110.10.34","mxzcwcbadbp101.zurich.mx","MXZCWCBADBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","16","Global Default Network"
"10.110.10.113","mxzcwopeasp101.zurich.mx","MXZCWOPEASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","16","Global Default Network"
"10.110.9.25","mxzvwpdaawr102.zurich.mx","MXZVWPDAAWR102","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","16","Global Default Network"
"10.110.10.33","mxzcwseidbp101.zurich.mx","MXZCWSEIDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","16","Global Default Network"
"10.110.10.145","mxzvwsovdbp102.zurich.mx","MXZVWSOVDBP102","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","16","Global Default Network"
"10.110.10.228","mxzdwqlvasp101.zurich.mx","MXZDWQLVASP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","16","Global Default Network"
"10.110.4.239","mxzcwspeasp101.zurich.mx","MXZCWSPEASP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","16","Global Default Network"
"10.110.10.103","mxzdwsiedbp101.zurich.mx","MXZDWSIEDBP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","15","Global Default Network"
"10.110.10.5","mxzcwscp101.zurich.mx","MXZCWSCP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","15","Global Default Network"
"10.110.7.25","mxzcwpdaaws101.zurich.mx","MXZCWPDAAWS101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","15","Global Default Network"
"10.110.10.88","mxzcwdivasp101.zurich.mx","MXZCWDIVASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","15","Global Default Network"
"10.110.10.135","mxzvlsovawp101.zurich.mx","MXZVLSOVAWP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","15","Global Default Network"
"10.110.10.97","mxzvwfatdbp101.zurich.mx","MXZVWFATDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.110.10.100","mxzcwcradbp101.zurich.mx","MXZCWCRADBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.241.16.4","mxzf0217.zurich.mx","MXZF0217","Windows Server 2008 Standard 64 bit Edition Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard_x64:","14","Global Default Network"
"10.110.10.167","mxzvwsirdbp101.zurich.mx","MXZVWSIRDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.110.10.86","mxzcwesbdbp101.zurich.mx","MXZCWESBDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.110.10.13","mxzdwadiwsp101.zurich.mx","MXZDWADIWSP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.110.10.43","mxzcwcgp101.zurich.mx","MXZCWCGP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.110.10.44","mxzvwwcadbp101.zurich.mx","MXZVWWCADBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.110.10.79","mxzvwsiafsp101.zurich.mx","MXZVWSIAFSP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","14","Global Default Network"
"10.110.10.15","mxzvwsiadbp101.zurich.mx","MXZVWSIADBP101","Windows Server 2008 R2 Enterprise 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:enterprise_x64:","13","Global Default Network"
"10.110.4.139","mxzcwmondbp101.zurich.mx","MXZCWMONDBP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","13","Global Default Network"
"10.110.10.123","mxzcwopefsp101.zurich.mx","MXZCWOPEFSP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","13","Global Default Network"
"10.110.7.6","mxzvwsovaes101.zurich.mx","MXZVWSOVAES101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","13","Global Default Network"
"10.110.10.21","mxzcwpsp102.zurich.mx","MXZCWPSP102","Windows Server 2008 Standard Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard:","13","Global Default Network"
"10.110.4.198","mxzcwsymocp101.zurich.mx","MXZCWSYMOCP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","13","Global Default Network"
"10.110.10.108","mxzcwoptasp101.zurich.mx","MXZCWOPTASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","13","Global Default Network"
"10.241.18.24","mxzt0118.zurich.mx","MXZT0118","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","13","Global Default Network"
"10.241.18.2","mxzt0108.zurich.mx","MXZT0108","Windows Server 2008 R2 Enterprise 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:enterprise_x64:","13","Global Default Network"
"10.241.16.8","mxzf0216.zurich.mx","MXZF0216","Windows Server 2008 Standard 64 bit Edition Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard_x64:","13","Global Default Network"
"10.110.10.51","mxzvwsiapsp101.zurich.mx","MXZVWSIAPSP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.10.149","mxzdwcbaasp101.zurich.mx","MXZDWCBAASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.4.145","mxzvwveeamp001.zurich.mx","MXZVWVEEAMP001","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.4.197","mxzcwwpmdbp101.zurich.mx","MXZCWWPMDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.10.133","mxzcwbpmdbp101.zurich.mx","MXZCWBPMDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.4.151","mxzcwwpmasp101.zurich.mx","MXZCWWPMASP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.10.109","mxzcwwpmasp102.zurich.mx","MXZCWWPMASP102","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.241.16.31","mxzdb0107.zurich.mx","MXZDB0107","Windows Server 2008 Standard 64 bit Edition Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard_x64:","12","Global Default Network"
"10.110.10.240","mxzdwsrfdbp101.zurich.mx","MXZDWSRFDBP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","12","Global Default Network"
"10.110.6.82","mxzdwsoiawd101.zurich.mx","MXZDWSOIAWD101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","12","Global Default Network"
"10.110.10.23","mxzdwceldbp101.zurich.mx","MXZDWCELDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.4.87","mxzdwhalasp101.zurich.mx","MXZDWHALASP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","12","Global Default Network"
"10.110.10.14","mxzdwadidbp101.zurich.mx","MXZDWADIDBP101","Windows Server 2012 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:::x64:","12","Global Default Network"
"10.110.10.230","mxzdwskydbp101.zurich.mx","MXZDWSKYDBP101","Windows Server 2012 R2 Standard 64 bit Edition","cpe:/o:microsoft:windows_server_2012:r2::x64:","12","Global Default Network"
"10.110.10.98","mxzcwricpsp101.zurich.mx","MXZCWRICPSP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","11","Global Default Network"
"10.241.16.18","mxzt0111.zurich.mx","MXZT0111","Windows Server 2008 Standard 64 bit Edition Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard_x64:","11","Global Default Network"
"10.241.16.24","mxzt0105.zurich.mx","MXZT0105","Windows Server 2008 Standard Service Pack 2","cpe:/o:microsoft:windows_server_2008::sp2:standard:","11","Global Default Network"
"10.110.10.32","mxzdweurdbdp101.zurich.mx","MXZDWEURDBDP101","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","11","Global Default Network"
"10.110.10.229","mxzcwdfsfsp103.zurich.mx","MXZCWDFSFSP103","Windows 2008 R2 Standard Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","11","Global Default Network"
